location	latitude	longitude	bearing
outflow	52.232197	0.171114	10.387466
headstation	52.230037	0.170375	10.919792
entry_firstpost	52.229049	0.170225	5.166562
exit_firstpost	52.227572	0.169038	54.72079
entry_grassy	52.226869	0.167126	53.578558
exit_grassy	52.225896	0.16647	157.790471
plough	52.224076	0.16717	166.412184
entry_ditton	52.223806	0.167264	167.411519
exit_ditton	52.222099	0.165683	58.868875
upstream_post	52.221541	0.16358	68.187189
railings	52.221285	0.162691	65.256105
fivepost	52.220194	0.156639	79.380811
railway	52.22019	0.156421	78.251766
path_split	52.219356	0.153699	56.935633
morleys_holt	52.219034	0.152857	64.160431
peters_post	52.218665	0.150705	69.218504
top_finish	52.21781	0.147228	74.577246
